algorithm,dataset,n,trial,eps,min_samples,runtime_seconds,memory_mb,num_clusters,noise_points,silhouette_score
DBSCAN,Iris,150,1,0.3,3,0.0035649999044835567,0.203125,10,84,0.3973539009809259
DBSCAN,Iris,150,2,0.3,3,0.0022263999562710524,0.0078125,10,84,0.3973539009809259
DBSCAN,Iris,150,3,0.3,3,0.0020910000894218683,0.00390625,10,84,0.3973539009809259
DBSCAN,Iris,150,4,0.3,3,0.0020007999846711755,0.0,10,84,0.3973539009809259
DBSCAN,Iris,150,5,0.3,3,0.0020397999323904514,0.00390625,10,84,0.3973539009809259
DBSCAN,Iris,150,1,0.3,5,0.001958299893885851,0.01953125,3,120,0.6301763083833147
DBSCAN,Iris,150,2,0.3,5,0.0019156000344082713,0.015625,3,120,0.6301763083833147
DBSCAN,Iris,150,3,0.3,5,0.001905999961309135,0.0,3,120,0.6301763083833147
DBSCAN,Iris,150,4,0.3,5,0.001879699993878603,0.00390625,3,120,0.6301763083833147
DBSCAN,Iris,150,5,0.3,5,0.002027499955147505,0.015625,3,120,0.6301763083833147
DBSCAN,Iris,150,1,0.3,7,0.0018969000084325671,0.015625,2,129,0.6276095436682062
DBSCAN,Iris,150,2,0.3,7,0.0019290000200271606,0.01171875,2,129,0.6276095436682062
DBSCAN,Iris,150,3,0.3,7,0.00187290005851537,0.0,2,129,0.6276095436682062
DBSCAN,Iris,150,4,0.3,7,0.001997699961066246,0.0078125,2,129,0.6276095436682062
DBSCAN,Iris,150,5,0.3,7,0.0019829999655485153,0.0,2,129,0.6276095436682062
DBSCAN,Iris,150,1,0.5,3,0.0020363000221550465,0.015625,7,17,0.2591217055088424
DBSCAN,Iris,150,2,0.5,3,0.0020027999999001622,0.0,7,17,0.2591217055088424
DBSCAN,Iris,150,3,0.5,3,0.002081100014038384,0.00390625,7,17,0.2591217055088424
DBSCAN,Iris,150,4,0.5,3,0.025162799982354045,0.0078125,7,17,0.2591217055088424
DBSCAN,Iris,150,5,0.5,3,0.0021617000456899405,0.00390625,7,17,0.2591217055088424
DBSCAN,Iris,150,1,0.5,5,0.0021644999505952,0.0,2,34,0.6558885287002016
DBSCAN,Iris,150,2,0.5,5,0.0020984000293537974,0.0078125,2,34,0.6558885287002016
DBSCAN,Iris,150,3,0.5,5,0.002034599892795086,0.0078125,2,34,0.6558885287002016
DBSCAN,Iris,150,4,0.5,5,0.002125200000591576,0.01171875,2,34,0.6558885287002016
DBSCAN,Iris,150,5,0.5,5,0.0021449000341817737,0.00390625,2,34,0.6558885287002016
DBSCAN,Iris,150,1,0.5,7,0.002040900057181716,0.0,5,46,0.4360341544450443
DBSCAN,Iris,150,2,0.5,7,0.0021482999436557293,0.0,5,46,0.4360341544450443
DBSCAN,Iris,150,3,0.5,7,0.0019984000828117132,0.0,5,46,0.4360341544450443
DBSCAN,Iris,150,4,0.5,7,0.002068999921903014,0.0,5,46,0.4360341544450443
DBSCAN,Iris,150,5,0.5,7,0.0026078999508172274,0.0,5,46,0.4360341544450443
DBSCAN,Iris,150,1,0.7,3,0.0021707999985665083,0.00390625,2,5,0.600152434408338
DBSCAN,Iris,150,2,0.7,3,0.0024052999215200543,0.00390625,2,5,0.600152434408338
DBSCAN,Iris,150,3,0.7,3,0.002165100071579218,0.0,2,5,0.600152434408338
DBSCAN,Iris,150,4,0.7,3,0.002169799990952015,0.015625,2,5,0.600152434408338
DBSCAN,Iris,150,5,0.7,3,0.0022157999919727445,0.0,2,5,0.600152434408338
DBSCAN,Iris,150,1,0.7,5,0.002539800014346838,0.01171875,2,6,0.6017954437722106
DBSCAN,Iris,150,2,0.7,5,0.0020899000810459256,0.0,2,6,0.6017954437722106
DBSCAN,Iris,150,3,0.7,5,0.0022580999648198485,0.00390625,2,6,0.6017954437722106
DBSCAN,Iris,150,4,0.7,5,0.002092399983666837,0.0,2,6,0.6017954437722106
DBSCAN,Iris,150,5,0.7,5,0.002147100050933659,0.0,2,6,0.6017954437722106
DBSCAN,Iris,150,1,0.7,7,0.0022285999730229378,0.00390625,2,16,0.6254638848196358
DBSCAN,Iris,150,2,0.7,7,0.00210100004915148,0.00390625,2,16,0.6254638848196358
DBSCAN,Iris,150,3,0.7,7,0.0023172000655904412,0.01953125,2,16,0.6254638848196358
DBSCAN,Iris,150,4,0.7,7,0.0021143999183550477,0.00390625,2,16,0.6254638848196358
DBSCAN,Iris,150,5,0.7,7,0.0021024999441578984,0.0,2,16,0.6254638848196358
DBSCAN,Iris,150,1,0.9,3,0.0022749999770894647,0.015625,2,4,0.5979413783542474
DBSCAN,Iris,150,2,0.9,3,0.002295199898071587,0.00390625,2,4,0.5979413783542474
DBSCAN,Iris,150,3,0.9,3,0.002162699936889112,0.0,2,4,0.5979413783542474
DBSCAN,Iris,150,4,0.9,3,0.0022811999078840017,0.0,2,4,0.5979413783542474
DBSCAN,Iris,150,5,0.9,3,0.002170699997805059,0.01171875,2,4,0.5979413783542474
DBSCAN,Iris,150,1,0.9,5,0.0022401000605896115,0.01171875,2,4,0.5979413783542474
DBSCAN,Iris,150,2,0.9,5,0.0023008999414741993,0.00390625,2,4,0.5979413783542474
DBSCAN,Iris,150,3,0.9,5,0.00230679998639971,0.0,2,4,0.5979413783542474
DBSCAN,Iris,150,4,0.9,5,0.0023295999271795154,0.0,2,4,0.5979413783542474
DBSCAN,Iris,150,5,0.9,5,0.0025723999133333564,0.0,2,4,0.5979413783542474
DBSCAN,Iris,150,1,0.9,7,0.0032952000619843602,0.0,2,6,0.6015716071161477
DBSCAN,Iris,150,2,0.9,7,0.0027689000125974417,0.0,2,6,0.6015716071161477
DBSCAN,Iris,150,3,0.9,7,0.0032155000371858478,0.0,2,6,0.6015716071161477
DBSCAN,Iris,150,4,0.9,7,0.002228400087915361,0.0,2,6,0.6015716071161477
DBSCAN,Iris,150,5,0.9,7,0.002430900000035763,0.00390625,2,6,0.6015716071161477
