algorithm,dataset,n,trial,eps,min_samples,runtime_seconds,memory_mb,num_clusters,noise_points,silhouette_score
DBSCAN,Synthetic,200,1,0.5,5,0.00564200000371784,0.1953125,5,64,0.6138815645718531
DBSCAN,Synthetic,200,2,0.5,5,0.0017065000720322132,0.015625,5,64,0.6138815645718531
DBSCAN,Synthetic,200,3,0.5,5,0.0015846999594941735,0.01171875,5,64,0.6138815645718531
DBSCAN,Synthetic,500,1,0.5,5,0.003162700100801885,0.0625,4,49,0.6721127598052279
DBSCAN,Synthetic,500,2,0.5,5,0.0032523999689146876,0.0,4,49,0.6721127598052279
DBSCAN,Synthetic,500,3,0.5,5,0.0031374000245705247,0.00390625,4,49,0.6721127598052279
DBSCAN,Synthetic,1000,1,0.5,5,0.006218499969691038,0.15234375,3,35,0.8521535013221421
DBSCAN,Synthetic,1000,2,0.5,5,0.00607320002745837,0.0546875,3,35,0.8521535013221421
DBSCAN,Synthetic,1000,3,0.5,5,0.005919800023548305,0.0,3,35,0.8521535013221421
DBSCAN,Synthetic,2000,1,0.5,5,0.015072599984705448,1.1328125,4,38,0.6728376717233614
DBSCAN,Synthetic,2000,2,0.5,5,0.0140914999647066,0.0859375,4,38,0.6728376717233614
DBSCAN,Synthetic,2000,3,0.5,5,0.013985400088131428,0.02734375,4,38,0.6728376717233614
DBSCAN,Synthetic,5000,1,0.5,5,0.05112439999356866,0.921875,3,35,0.8440146600475823
DBSCAN,Synthetic,5000,2,0.5,5,0.05463270004838705,-0.4140625,3,35,0.8440146600475823
DBSCAN,Synthetic,5000,3,0.5,5,0.05320449999999255,0.19140625,3,35,0.8440146600475823
