algorithm,dataset,n,trial,runtime_seconds,sse,silhouette_score
Firefly,Iris,150,1,6.178466558456421,508.16988248042946,0.3567945685198302
Firefly,Iris,150,2,6.111464262008667,325.01964282952747,0.4545000028124127
Firefly,Iris,150,3,6.185765027999878,439.553934421014,0.41002989887481994
Firefly,Iris,150,4,6.2917094230651855,403.48640831156854,0.4384565165782748
Firefly,Iris,150,5,6.384149074554443,417.22929354653445,0.2559351275339185
Firefly,Iris,150,6,6.183948755264282,566.6144333650485,0.06597235408426923
Firefly,Iris,150,7,6.021525859832764,484.7905302174164,0.39383716356820164
Firefly,Iris,150,8,6.2673234939575195,410.2039964548692,0.49102345912972034
Firefly,Iris,150,9,6.143955945968628,452.4279769311274,0.3388455982917624
Firefly,Iris,150,10,6.071467876434326,568.1830202146747,0.29302614641388575
