algorithm,dataset,n,trial,runtime_seconds,sse,silhouette_score
Hierarchical,Iris,150,1,0.01750499999616295,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,2,0.0006076999998185784,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,3,0.0005923999997321516,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,4,0.000662600010400638,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,5,0.0008613000100012869,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,6,0.0007105999975465238,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,7,0.0007048999977996573,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,8,0.0007741000008536503,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,9,0.0005328999977791682,148.8762557795792,0.4466890410285909
Hierarchical,Iris,150,10,0.000527900003362447,148.8762557795792,0.4466890410285909
