algorithm,dataset,n,trial,runtime_seconds,memory_mb,sse,silhouette_score
Hierarchical,Synthetic,200,1,0.04809309999109246,1.3515625,364.4733211131726,0.8467003894636074
Hierarchical,Synthetic,200,2,0.001806499989470467,0.0,364.4733211131726,0.8467003894636074
Hierarchical,Synthetic,200,3,0.0017629000067245215,0.0,364.4733211131726,0.8467003894636074
Hierarchical,Synthetic,500,1,0.006976400007260963,1.35546875,955.6493433489619,0.8437565906781406
Hierarchical,Synthetic,500,2,0.006296799998381175,0.05859375,955.6493433489619,0.8437565906781406
Hierarchical,Synthetic,500,3,0.00579229999857489,0.0,955.6493433489619,0.8437565906781406
Hierarchical,Synthetic,1000,1,0.02446590000181459,0.453125,1950.8814994726636,0.8435705873891368
Hierarchical,Synthetic,1000,2,0.023218600006657653,0.0,1950.8814994726636,0.8435705873891368
Hierarchical,Synthetic,1000,3,0.023312300007091835,0.0,1950.8814994726636,0.8435705873891368
Hierarchical,Synthetic,2000,1,0.10200939999776892,0.00390625,3972.616564712268,0.8417142141078933
Hierarchical,Synthetic,2000,2,0.0950921999901766,0.0,3972.616564712268,0.8417142141078933
Hierarchical,Synthetic,2000,3,0.10542809999606106,0.0,3972.616564712268,0.8417142141078933
Hierarchical,Synthetic,5000,1,0.8027833000087412,0.05078125,10059.170819374776,0.841632632352753
Hierarchical,Synthetic,5000,2,0.9150430000008782,0.0,10059.170819374776,0.841632632352753
Hierarchical,Synthetic,5000,3,0.7654376999998931,0.0,10059.170819374776,0.841632632352753
